date,ticker,close,marcap
2015-01-31,005930,27300,161606115270600
2015-02-28,005930,27140,160658973203080
2015-03-31,005930,28820,170603964912040
2015-04-30,005930,28200,166933789400400
2015-05-31,005930,26140,154739335281080
2015-06-30,005930,25360,150122017701920
2015-07-31,005930,23700,140295418751400
2015-08-31,005930,21780,128929713941160
2015-09-30,005930,22680,134257388070960
2015-10-31,005930,27440,162434864579680
2015-11-30,005930,25680,152016301836960
2015-12-31,005930,25200,149174875634400
2016-01-31,005930,23000,136151672206000
2016-02-29,005930,23560,139466669442320
2016-03-31,005930,26240,155331299073280
2016-04-30,005930,24900,147398984257800
2016-05-31,005930,25840,152963443904480
2016-06-30,005930,28500,168709680777000
2016-07-31,005930,30780,182206455239160
2016-08-31,005930,32400,191796268672800
2016-09-30,005930,31960,189191627987120
2016-10-31,005930,32780,194045731083160
2016-11-30,005930,34920,206713756236240
2016-12-31,005930,36040,213343750708880
2017-01-31,005930,39460,233588912402120
2017-02-28,005930,38440,227550881721680
2017-03-31,005930,41200,243889082386400
2017-04-30,005930,44620,264134244079640
2017-05-31,005930,44700,264607815113400
2017-06-30,005930,47540,281419586811880
2017-07-31,005930,48200,285326547840400
2017-08-31,005930,46320,274197628547040
2017-09-30,005930,51280,303559032640160
2017-10-31,005930,55080,326053656743760
2017-11-30,005930,50800,300717606437600
2017-12-31,005930,50960,301664748505120
2018-01-31,005930,49900,295389932307800
2018-02-28,005930,47060,278578160609320
2018-03-31,005930,49220,291364578520840
2018-04-30,005930,53000,313740809866000
2018-05-31,005930,50700,300125642645400
2018-06-30,005930,46650,276151109061300
2018-07-31,005930,46250,273783253892500
2018-08-31,005930,48450,286806457320900
2018-09-30,005930,46450,274967181476900
2018-10-31,005930,42400,250992647892800
2018-11-30,005930,41850,247736847035700
2018-12-31,005930,38700,229089987581400
2019-01-31,005930,46150,273191290100300
2019-02-28,005930,45100,266975670282200
2019-03-31,005930,44650,264311833217300
2019-04-30,005930,45850,271415398723700
2019-05-31,005930,42500,251584611685000
2019-06-30,005930,47000,278222982334000
2019-07-31,005930,45350,268455579762700
2019-08-31,005930,44000,260464068568000
2019-09-30,005930,49050,290358240074100
2019-10-31,005930,50400,298349751268800
2019-11-30,005930,50300,297757787476600
2019-12-31,005930,55800,330315796047600
2020-01-31,005930,56400,333867578800800
2020-02-29,005930,54200,320844375372400
2020-03-31,005930,47750,282662710775500
2020-04-30,005930,50000,295981896100000
2020-05-31,005930,50700,300125642645400
2020-06-30,005930,52800,312556882281600
2020-07-31,005930,57900,342747035683800
2020-08-31,005930,54000,319660447788000
2020-09-30,005930,58200,344522927060400
2020-10-31,005930,56600,335051506385200
2020-11-30,005930,66700,394839849397400
2020-12-31,005930,81000,479490671682000
2021-01-31,005930,82000,485410309604000
2021-02-28,005930,82500,488370128565000
2021-03-31,005930,81400,481858526850800
2021-04-30,005930,81500,482450490643000
2021-05-31,005930,80500,476530852721000
2021-06-30,005930,80700,477714780305400
2021-07-31,005930,78500,464691576877000
2021-08-31,005930,76700,454036228617400
2021-09-30,005930,74100,438645170020200
2021-10-31,005930,69800,413190726955600
2021-11-30,005930,71300,422070183838600
2021-12-31,005930,78300,463507649292600
2022-01-31,005930,73300,433909459682600
2022-02-28,005930,72100,426805894176200
2022-03-31,005930,69600,412006799371200
2022-04-30,005930,67400,398983595942800
2022-05-31,005930,67400,398983595942800
2022-06-30,005930,57000,337419361554000
2022-07-31,005930,61400,363465768410800
2022-08-31,005930,59700,353402383943400
2022-09-30,005930,53100,314332773658200
2022-10-31,005930,59400,351626492566800
2022-11-30,005930,62200,368201478748400
2022-12-31,005930,55300,327355977086600
2023-01-31,005930,61000,361097913242000
2023-02-28,005930,60600,358730058073200
2023-03-31,005930,64000,378856827008000
2023-04-30,005930,65500,387736283891000
2023-05-31,005930,71400,422662147630800
2023-06-30,005930,72200,427397857968400
2023-07-31,005930,69800,413190726955600
2023-08-31,005930,66900,396023776981800
2023-09-30,005930,68400,404903233864800
2023-10-31,005930,66900,396023776981800
2023-11-30,005930,72800,430949640721600
2023-12-31,005930,78500,464691576877000
2024-01-31,005930,72700,430357676929400
2024-02-29,005930,73400,434501423474800
2024-03-31,005930,82400,487778164772800
2024-04-30,005930,77500,458771938955000
2024-05-31,005930,73500,435093387267000
2024-06-30,005930,81500,482450490643000
2024-07-31,005930,83900,496657621655800
2024-08-31,005930,74300,439829097604600
2024-09-30,005930,61500,364057732203000
2024-10-31,005930,59200,350442564982400
2024-11-30,005930,54200,320844375372400
2024-12-31,005930,53200,314924737450400
2015-01-31,000660,47650,34689312692250
2015-02-28,000660,46600,33924910209000
2015-03-31,000660,45550,33160507725750
2015-04-30,000660,46150,33597309144750
2015-05-31,000660,51100,37200920851500
2015-06-30,000660,42300,30794500039500
2015-07-31,000660,37100,27008887741500
2015-08-31,000660,35800,26062484667000
2015-09-30,000660,33550,24424479345750
2015-10-31,000660,30700,22349672605500
2015-11-30,000660,31600,23004874734000
2015-12-31,000660,30750,22386072723750
2016-01-31,000660,27300,19874464564500
2016-02-29,000660,30000,21840070950000
2016-03-31,000660,28150,20493266574750
2016-04-30,000660,28150,20493266574750
2016-05-31,000660,28700,20893667875500
2016-06-30,000660,32400,23587276626000
2016-07-31,000660,34400,25043281356000
2016-08-31,000660,36450,26535686204250
2016-09-30,000660,40200,29265695073000
2016-10-31,000660,41000,29848096965000
2016-11-30,000660,42900,31231301458500
2016-12-31,000660,44700,32541705715500
2017-01-31,000660,53700,39093727000500
2017-02-28,000660,46700,33997710445500
2017-03-31,000660,50500,36764119432500
2017-04-30,000660,54000,39312127710000
2017-05-31,000660,57000,41496134805000
2017-06-30,000660,67400,49067359401000
2017-07-31,000660,66000,48048156090000
2017-08-31,000660,68600,49940962239000
2017-09-30,000660,82900,60351396058500
2017-10-31,000660,82200,59841794403000
2017-11-30,000660,76800,55910581632000
2017-12-31,000660,76500,55692180922500
2018-01-31,000660,73500,53508173827500
2018-02-28,000660,76800,55910581632000
2018-03-31,000660,81300,59186592274500
2018-04-30,000660,84500,61516199842500
2018-05-31,000660,93400,67995420891000
2018-06-30,000660,85700,62389802680500
2018-07-31,000660,86300,62826604099500
2018-08-31,000660,83000,60424196295000
2018-09-30,000660,73100,53216972881500
2018-10-31,000660,68200,49649761293000
2018-11-30,000660,69600,50668964604000
2018-12-31,000660,60500,44044143082500
2019-01-31,000660,73900,53799374773500
2019-02-28,000660,70000,50960165550000
2019-03-31,000660,74200,54017775483000
2019-04-30,000660,79000,57512186835000
2019-05-31,000660,65300,47538554434500
2019-06-30,000660,69500,50596164367500
2019-07-31,000660,76900,55983381868500
2019-08-31,000660,77400,56347383051000
2019-09-30,000660,82200,59841794403000
2019-10-31,000660,82000,59696193930000
2019-11-30,000660,80900,58895391328500
2019-12-31,000660,94100,68505022546500
2020-01-31,000660,93500,68068221127500
2020-02-29,000660,87900,63991407883500
2020-03-31,000660,83300,60642597004500
2020-04-30,000660,83700,60933797950500
2020-05-31,000660,81500,59332192747500
2020-06-30,000660,85100,61953001261500
2020-07-31,000660,82800,60278595822000
2020-08-31,000660,75100,54672977611500
2020-09-30,000660,84000,61152198660000
2020-10-31,000660,79900,58167388963500
2020-11-30,000660,97500,70980230587500
2020-12-31,000660,118500,86268280252500
2021-01-31,000660,122500,89180289712500
2021-02-28,000660,141500,103012334647500
2021-03-31,000660,132500,96460313362500
2021-04-30,000660,128000,93184302720000
2021-05-31,000660,127000,92456300355000
2021-06-30,000660,127500,92820301537500
2021-07-31,000660,112500,81900266062500
